Make,Model,Year,Engine_Fuel_Type,Engine_HP,Engine_Cylinders,Transmission_Type,Driven_Wheels,Number_of_Doors,Market_Category,Vehicle_Size,Vehicle_Style,highway_MPG,city_mpg,Popularity,MSRP
Chevrolet,Silverado 1500,2017,regular unleaded,355.0,8.0,AUTOMATIC,four wheel drive,4.0,,Large,Crew Cab Pickup,20,15,1385,48740
Honda,Civic,2015,regular unleaded,143.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,36,28,2202,18490
Ford,Fusion,2016,regular unleaded,175.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,34,22,5657,22750
Audi,A4,2017,premium unleaded (recommended),190.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,37,27,3105,34900
Subaru,Impreza,2017,regular unleaded,152.0,4.0,MANUAL,all wheel drive,4.0,,Midsize,Sedan,36,27,640,21995
Nissan,Frontier,2015,regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,,Compact,Extended Cab Pickup,21,15,2009,26310
Ford,Bronco II,1990,regular unleaded,140.0,6.0,MANUAL,rear wheel drive,2.0,,Compact,2dr SUV,20,16,5657,2000
Ford,Transit Wagon,2015,premium unleaded (recommended),310.0,6.0,AUTOMATIC,rear wheel drive,3.0,Diesel,Large,Passenger Van,19,14,5657,43795
Nissan,Quest,2016,regular unleaded,260.0,6.0,AUTOMATIC,front wheel drive,4.0,,Compact,Passenger Minivan,27,20,2009,26580
Hyundai,Tiburon,2006,regular unleaded,172.0,6.0,MANUAL,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,24,16,1439,20595
Kia,Optima,2014,regular unleaded,192.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,34,23,1720,23950
Chrysler,300,2017,regular unleaded,292.0,6.0,AUTOMATIC,rear wheel drive,4.0,Performance,Large,Sedan,30,19,1013,38635
Porsche,968,1995,regular unleaded,236.0,4.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,24,15,1715,5576
Volkswagen,Beetle,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,33,25,873,26985
Ford,Transit Connect,2017,flex-fuel (unleaded/E85),169.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Cargo Minivan,27,20,5657,22900
Hyundai,Genesis Coupe,2015,premium unleaded (recommended),348.0,6.0,AUTOMATIC,rear wheel drive,2.0,High-Performance,Midsize,Coupe,25,16,1439,34600
Chevrolet,Camaro,2015,premium unleaded (required),505.0,8.0,MANUAL,rear wheel drive,2.0,"Factory Tuner,High-Performance",Midsize,Coupe,19,13,1385,72305
Maybach,62,2010,premium unleaded (required),543.0,12.0,AUTOMATIC,rear wheel drive,4.0,"Exotic,Luxury",Large,Sedan,16,10,67,417000
Audi,A7,2015,diesel,240.0,6.0,AUTOMATIC,all wheel drive,4.0,"Diesel,Luxury",Large,Sedan,38,24,3105,72150
Mitsubishi,Outlander Sport,2017,regular unleaded,168.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,28,23,436,22695
Volkswagen,Tiguan,2016,premium unleaded (recommended),200.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,26,21,873,34445
Infiniti,G Sedan,2012,premium unleaded (recommended),328.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,27,19,190,36900
Nissan,Quest,2014,regular unleaded,260.0,6.0,AUTOMATIC,front wheel drive,4.0,,Compact,Passenger Minivan,25,19,2009,42870
Subaru,Baja,2004,premium unleaded (required),210.0,4.0,MANUAL,all wheel drive,4.0,Crossover,Compact,Crew Cab Pickup,22,16,640,23995
Chevrolet,Silverado 1500,2015,regular unleaded,355.0,8.0,AUTOMATIC,four wheel drive,4.0,,Large,Crew Cab Pickup,22,16,1385,51150
Chevrolet,C/K 1500 Series,1997,regular unleaded,200.0,6.0,MANUAL,four wheel drive,2.0,,Large,Extended Cab Pickup,18,14,1385,3088
Volkswagen,Phaeton,2004,premium unleaded (recommended),420.0,12.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Large,Sedan,17,11,873,79900
Honda,Pilot,2015,regular unleaded,250.0,6.0,AUTOMATIC,four wheel drive,4.0,Crossover,Midsize,4dr SUV,24,17,2202,38570
Dodge,Dart,2015,regular unleaded,184.0,4.0,MANUAL,front wheel drive,4.0,,Midsize,Sedan,33,23,1851,21645
Audi,A3,2016,premium unleaded (recommended),170.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,Luxury,Compact,Convertible,35,24,3105,45450
Ford,Taurus X,2009,regular unleaded,263.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Large,Wagon,24,17,5657,32325
Honda,Ridgeline,2017,regular unleaded,280.0,6.0,AUTOMATIC,front wheel drive,4.0,,Large,Crew Cab Pickup,26,19,2202,29475
Chevrolet,C/K 1500 Series,1998,regular unleaded,200.0,6.0,MANUAL,rear wheel drive,2.0,,Large,Extended Cab Pickup,21,16,1385,3094
Chevrolet,Corvette,2015,premium unleaded (recommended),455.0,8.0,MANUAL,rear wheel drive,2.0,High-Performance,Compact,Convertible,29,17,1385,59000
Honda,Civic,2015,regular unleaded,110.0,4.0,AUTOMATIC,front wheel drive,4.0,Hybrid,Compact,Sedan,47,44,2202,27435
Infiniti,G35,2006,regular unleaded,280.0,6.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,Performance",Midsize,Coupe,23,17,190,33200
Dodge,Caliber,2011,regular unleaded,158.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,27,23,1851,20585
Toyota,Sequoia,2015,regular unleaded,381.0,8.0,AUTOMATIC,four wheel drive,4.0,,Large,4dr SUV,17,13,2031,64320
Subaru,Loyale,1992,regular unleaded,90.0,4.0,MANUAL,four wheel drive,4.0,,Compact,Sedan,26,21,640,2000
Mitsubishi,Endeavor,2010,premium unleaded (recommended),225.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,21,15,436,29999
Kia,Amanti,2009,regular unleaded,264.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,24,17,1720,26045
Dodge,Stratus,2005,regular unleaded,147.0,4.0,MANUAL,front wheel drive,2.0,,Midsize,Coupe,29,21,1851,20135
Chrysler,Cirrus,1999,regular unleaded,168.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,25,17,1013,2202
Buick,Rainier,2006,regular unleaded,291.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,14,155,30580
Ford,Taurus X,2008,regular unleaded,260.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Large,Wagon,24,16,5657,27030
Nissan,Xterra,2015,regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,20,15,2009,27720
BMW,4 Series,2017,premium unleaded (recommended),320.0,6.0,AUTOMATIC,all wheel drive,2.0,"Luxury,Performance",Midsize,Coupe,31,21,3916,50500
Toyota,Supra,1997,regular unleaded,220.0,6.0,MANUAL,rear wheel drive,2.0,Performance,Compact,Coupe,22,16,2031,17320
Infiniti,J30,1996,regular unleaded,210.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,22,16,190,2000
Chevrolet,Silverado 1500,2016,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Large,Extended Cab Pickup,22,17,1385,41185
Ford,E-Series Van,2013,flex-fuel (unleaded/E85),255.0,8.0,AUTOMATIC,rear wheel drive,3.0,Flex Fuel,Midsize,Cargo Van,16,12,5657,31485
Mitsubishi,Outlander Sport,2015,regular unleaded,168.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,28,23,436,21295
Acura,RLX,2016,premium unleaded (recommended),377.0,6.0,AUTOMATED_MANUAL,all wheel drive,4.0,"Luxury,High-Performance,Hybrid",Midsize,Sedan,32,28,204,59950
Suzuki,Kizashi,2012,regular unleaded,180.0,4.0,AUTOMATIC,all wheel drive,4.0,,Midsize,Sedan,29,22,481,23649
Pontiac,Trans Sport,1998,regular unleaded,180.0,6.0,AUTOMATIC,front wheel drive,3.0,,Compact,Passenger Minivan,23,16,210,2000
Honda,Odyssey,2015,regular unleaded,248.0,6.0,AUTOMATIC,front wheel drive,4.0,,Large,Passenger Minivan,28,19,2202,28975
Subaru,Justy,1993,regular unleaded,73.0,3.0,AUTOMATIC,front wheel drive,2.0,Hatchback,Compact,2dr Hatchback,32,28,640,2000
Acura,Integra,2000,regular unleaded,170.0,4.0,MANUAL,front wheel drive,4.0,"Luxury,Performance",Compact,Sedan,28,22,204,3622
Dodge,Challenger,2016,regular unleaded,375.0,8.0,MANUAL,rear wheel drive,2.0,High-Performance,Large,Coupe,23,15,1851,34995
Audi,100,1993,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000
Mercedes-Benz,C-Class,2015,premium unleaded (required),241.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Midsize,Sedan,34,25,617,39050
Lincoln,Aviator,2003,premium unleaded (required),302.0,8.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,4dr SUV,17,12,61,42435
Volvo,S60,2016,regular unleaded,302.0,4.0,AUTOMATIC,front wheel drive,4.0,"Luxury,High-Performance",Midsize,Sedan,33,23,870,39450
Mazda,RX-8,2010,premium unleaded (required),212.0,,AUTOMATIC,rear wheel drive,4.0,Performance,Compact,Coupe,23,16,586,26645
Audi,allroad quattro,2005,regular unleaded,300.0,8.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Performance",Midsize,Wagon,19,14,3105,47250
Mazda,B-Series Truck,2007,regular unleaded,148.0,6.0,MANUAL,rear wheel drive,2.0,,Compact,Regular Cab Pickup,21,16,586,19675
Ford,E-Series Wagon,2014,flex-fuel (unleaded/E85),255.0,8.0,AUTOMATIC,rear wheel drive,3.0,Flex Fuel,Midsize,Passenger Van,15,11,5657,33560
Acura,RSX,2005,regular unleaded,160.0,4.0,MANUAL,front wheel drive,2.0,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,31,24,204,21350
Ford,Escape Hybrid,2009,regular unleaded,177.0,4.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Hybrid",Compact,4dr SUV,27,29,5657,31395
Hyundai,Equus,2016,premium unleaded (recommended),429.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance",Large,Sedan,23,15,1439,68750
Suzuki,Reno,2006,regular unleaded,126.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,28,20,481,13299
Mercedes-Benz,M-Class,2015,premium unleaded (required),518.0,8.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Factory Tuner,Luxury,High-Performance",Midsize,4dr SUV,17,13,617,98400
Ford,F-150,2017,regular unleaded,325.0,6.0,AUTOMATIC,rear wheel drive,4.0,Flex Fuel,Large,Extended Cab Pickup,26,19,5657,40365
Aston Martin,DBS,2010,premium unleaded (required),510.0,12.0,AUTOMATIC,rear wheel drive,2.0,"Exotic,High-Performance",Midsize,Coupe,18,12,259,270400
Mazda,MPV,2005,regular unleaded,200.0,6.0,AUTOMATIC,front wheel drive,4.0,,Compact,Passenger Minivan,23,16,586,22115
Dodge,Viper,2017,premium unleaded (required),645.0,10.0,MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Compact,Coupe,19,12,1851,95895
GMC,Sonoma,2002,flex-fuel (unleaded/E85),120.0,4.0,AUTOMATIC,rear wheel drive,2.0,Flex Fuel,Compact,Regular Cab Pickup,23,17,549,15093
GMC,S-15 Jimmy,1991,regular unleaded,150.0,6.0,MANUAL,four wheel drive,4.0,,Midsize,4dr SUV,18,14,549,2000
BMW,6 Series,2015,premium unleaded (required),445.0,8.0,AUTOMATIC,rear wheel drive,2.0,"Luxury,High-Performance",Midsize,Convertible,25,17,3916,94900
Pontiac,Le Mans,1992,regular unleaded,74.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Coupe,37,26,210,2000
Nissan,Pathfinder,2016,regular unleaded,260.0,6.0,AUTOMATIC,four wheel drive,4.0,Crossover,Large,4dr SUV,26,19,2009,38100
Scion,xB,2015,regular unleaded,158.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Wagon,28,22,105,17120
Lincoln,Navigator,2017,regular unleaded,380.0,6.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,4dr SUV,20,15,61,73650
Chevrolet,Silverado 1500,2015,regular unleaded,355.0,8.0,AUTOMATIC,four wheel drive,4.0,,Large,Crew Cab Pickup,22,16,1385,45420
Toyota,Prius,2016,regular unleaded,121.0,4.0,AUTOMATIC,front wheel drive,4.0,"Hatchback,Hybrid",Compact,4dr Hatchback,50,54,2031,24200
GMC,Vandura,1995,regular unleaded,165.0,6.0,AUTOMATIC,rear wheel drive,3.0,,Compact,Cargo Van,20,15,549,2000
Kia,Forte,2016,regular unleaded,145.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Sedan,39,26,1720,17700
Toyota,Tacoma,2017,regular unleaded,278.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Compact,Extended Cab Pickup,24,19,2031,25730
Volkswagen,GLI,2012,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Performance,Midsize,Sedan,32,24,873,27795
Nissan,Murano,2015,regular unleaded,260.0,6.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,28,21,2009,34220
Dodge,Caliber,2011,regular unleaded,158.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Wagon,32,24,1851,17380
Mazda,626,2000,regular unleaded,170.0,6.0,MANUAL,front wheel drive,4.0,,Midsize,Sedan,25,19,586,2080
Dodge,Challenger,2016,regular unleaded,375.0,8.0,MANUAL,rear wheel drive,2.0,High-Performance,Large,Coupe,23,15,1851,38995
Mazda,MX-6,1995,regular unleaded,164.0,6.0,MANUAL,front wheel drive,2.0,Performance,Compact,Coupe,24,18,586,2000
Suzuki,Kizashi,2011,regular unleaded,180.0,4.0,AUTOMATIC,all wheel drive,4.0,,Midsize,Sedan,29,22,481,27299
Ford,Freestyle,2007,regular unleaded,203.0,6.0,AUTOMATIC,front wheel drive,4.0,Crossover,Large,Wagon,25,18,5657,29205
Dodge,Intrepid,2003,regular unleaded,200.0,6.0,AUTOMATIC,front wheel drive,4.0,,Large,Sedan,27,19,1851,21155
Ford,F-150,2017,flex-fuel (unleaded/E85),282.0,6.0,AUTOMATIC,four wheel drive,2.0,Flex Fuel,Large,Regular Cab Pickup,23,17,5657,35330
Infiniti,I30,2000,regular unleaded,227.0,6.0,AUTOMATIC,front wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,25,17,190,2552
Toyota,Pickup,1993,regular unleaded,116.0,4.0,MANUAL,four wheel drive,2.0,,Compact,Extended Cab Pickup,20,17,2031,2142
Suzuki,SX4,2012,regular unleaded,150.0,4.0,MANUAL,all wheel drive,4.0,"Crossover,Hatchback",Compact,4dr Hatchback,30,22,481,16999
BMW,5 Series,2015,premium unleaded (required),241.0,4.0,AUTOMATIC,rear wheel drive,4.0,Luxury,Large,Sedan,34,23,3916,49950
Mazda,RX-8,2011,premium unleaded (required),212.0,,AUTOMATIC,rear wheel drive,4.0,Performance,Compact,Coupe,23,16,586,26795
Chevrolet,TrailBlazer,2009,regular unleaded,285.0,6.0,AUTOMATIC,rear wheel drive,4.0,,Midsize,4dr SUV,20,14,1385,31275
Buick,Envision,2017,premium unleaded (recommended),252.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,26,20,155,42320
Dodge,Viper,2016,premium unleaded (required),645.0,10.0,MANUAL,rear wheel drive,2.0,"Exotic,High-Performance",Compact,Coupe,21,12,1851,107995
Volvo,850,1996,regular unleaded,222.0,5.0,AUTOMATIC,front wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,24,17,870,2000
Chevrolet,Sonic,2017,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,34,24,1385,18970
Volkswagen,GTI,2012,premium unleaded (recommended),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,2.0,"Hatchback,Performance",Compact,2dr Hatchback,33,24,873,25095
Lexus,IS 300,2005,premium unleaded (required),215.0,6.0,MANUAL,rear wheel drive,4.0,"Luxury,Performance",Compact,Sedan,23,16,454,29735
Honda,S2000,2008,premium unleaded (required),237.0,4.0,MANUAL,rear wheel drive,2.0,"Factory Tuner,Performance",Compact,Convertible,25,18,2202,37300
Ford,E-Series Wagon,2013,flex-fuel (unleaded/E85),255.0,8.0,AUTOMATIC,rear wheel drive,3.0,Flex Fuel,Midsize,Passenger Van,15,11,5657,35085
Chevrolet,Camaro,2017,premium unleaded (recommended),455.0,8.0,MANUAL,rear wheel drive,2.0,High-Performance,Midsize,Coupe,25,16,1385,36905
Buick,Roadmaster,1994,regular unleaded,260.0,8.0,AUTOMATIC,rear wheel drive,4.0,,Large,Sedan,23,15,155,2000
Cadillac,XTS,2016,regular unleaded,304.0,6.0,AUTOMATIC,front wheel drive,4.0,"Luxury,Performance",Large,Sedan,28,18,1624,49250
Hyundai,Excel,1993,regular unleaded,81.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,30,25,1439,2000
Nissan,Rogue Select,2014,regular unleaded,170.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,27,22,2009,21500
Mitsubishi,Montero Sport,2002,regular unleaded,197.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,17,14,436,32887
Volkswagen,Beetle Convertible,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,2.0,,Compact,Convertible,32,24,873,29595
Dodge,Shadow,1992,regular unleaded,152.0,4.0,MANUAL,front wheel drive,2.0,"Hatchback,Performance",Compact,2dr Hatchback,24,18,1851,2000
BMW,X5,2017,premium unleaded (required),445.0,8.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury,Performance",Midsize,4dr SUV,21,15,3916,72300
Porsche,Cayenne,2016,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Luxury",Midsize,4dr SUV,24,19,1715,58300
Acura,RLX,2015,premium unleaded (recommended),310.0,6.0,AUTOMATIC,front wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,31,20,204,56950
Hyundai,Elantra GT,2015,regular unleaded,173.0,4.0,MANUAL,front wheel drive,4.0,"Hatchback,Performance",Compact,4dr Hatchback,34,24,1439,18800
Honda,Accord,2016,regular unleaded,185.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,37,27,2202,23005
Honda,Passport,2001,regular unleaded,205.0,6.0,AUTOMATIC,four wheel drive,4.0,,Midsize,4dr SUV,19,15,2202,29250
Oldsmobile,LSS,1999,regular unleaded,240.0,6.0,AUTOMATIC,front wheel drive,4.0,,Large,Sedan,25,16,26,2681
Volkswagen,Golf SportWagen,2017,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,34,25,873,22680
Toyota,Tundra,2016,regular unleaded,310.0,8.0,AUTOMATIC,rear wheel drive,4.0,,Large,Extended Cab Pickup,19,15,2031,30950
GMC,Safari,2005,regular unleaded,190.0,6.0,AUTOMATIC,all wheel drive,3.0,,Large,Passenger Minivan,16,12,549,26430
Volvo,XC60,2015,regular unleaded,302.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Luxury,Performance",Midsize,4dr SUV,30,22,870,42350
Pontiac,Grand Prix,2008,regular unleaded,303.0,8.0,AUTOMATIC,front wheel drive,4.0,"Factory Tuner,High-Performance",Large,Sedan,25,16,210,29325
Volkswagen,GLI,2008,premium unleaded (required),200.0,4.0,AUTOMATED_MANUAL,front wheel drive,4.0,Performance,Compact,Sedan,29,22,873,25375
Ford,F-150,2016,flex-fuel (unleaded/E85),282.0,6.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Large,Crew Cab Pickup,23,17,5657,36565
Mazda,3,2015,regular unleaded,184.0,4.0,AUTOMATIC,front wheel drive,4.0,Performance,Compact,Sedan,39,28,586,24895
BMW,Z4 M,2008,premium unleaded (required),330.0,6.0,MANUAL,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,23,15,3916,50400
BMW,3 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,Performance",Midsize,Sedan,34,22,3916,38350
Hyundai,Azera,2017,regular unleaded,293.0,6.0,AUTOMATIC,front wheel drive,4.0,Performance,Midsize,Sedan,28,20,1439,34100
Volkswagen,Touareg 2,2009,premium unleaded (recommended),350.0,8.0,AUTOMATIC,all wheel drive,4.0,"Crossover,Performance",Midsize,4dr SUV,18,13,873,48900
Toyota,Previa,1995,regular unleaded,161.0,4.0,AUTOMATIC,all wheel drive,3.0,,Compact,Passenger Minivan,20,15,2031,2194
Kia,Rondo,2008,regular unleaded,162.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,26,19,1720,19195
Infiniti,Q50,2016,premium unleaded (recommended),360.0,6.0,AUTOMATIC,rear wheel drive,4.0,"Luxury,High-Performance,Hybrid",Midsize,Sedan,34,28,190,47050
Dodge,Dakota,2009,regular unleaded,210.0,6.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Compact,Crew Cab Pickup,18,14,1851,31045
Cadillac,CTS,2016,premium unleaded (recommended),268.0,4.0,AUTOMATIC,all wheel drive,4.0,"Luxury,Performance",Large,Sedan,29,21,1624,62685
Ford,Freestyle,2007,regular unleaded,203.0,6.0,AUTOMATIC,all wheel drive,4.0,Crossover,Large,Wagon,22,17,5657,27770
Toyota,Sienna,2016,regular unleaded,266.0,6.0,AUTOMATIC,all wheel drive,4.0,,Large,Passenger Minivan,23,16,2031,37620
Nissan,Juke,2016,premium unleaded (recommended),188.0,4.0,AUTOMATIC,front wheel drive,4.0,"Crossover,Hatchback",Compact,4dr Hatchback,32,28,2009,22300
Chevrolet,TrailBlazer EXT,2005,regular unleaded,275.0,6.0,AUTOMATIC,four wheel drive,4.0,,Large,4dr SUV,17,12,1385,30335
Ford,Windstar Cargo,2003,regular unleaded,200.0,6.0,AUTOMATIC,front wheel drive,3.0,,Midsize,Cargo Minivan,22,16,5657,21075
Hyundai,Scoupe,1994,regular unleaded,115.0,4.0,MANUAL,front wheel drive,2.0,,Compact,Coupe,29,23,1439,2000
Buick,Enclave,2016,regular unleaded,288.0,6.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,22,15,155,49515
Toyota,Tacoma,2015,regular unleaded,236.0,6.0,MANUAL,four wheel drive,4.0,,Compact,Extended Cab Pickup,19,15,2031,35725
Dodge,RAM 150,1993,regular unleaded,230.0,8.0,MANUAL,rear wheel drive,2.0,,Large,Extended Cab Pickup,16,12,1851,2000
Chrysler,200,2017,flex-fuel (unleaded/E85),295.0,6.0,AUTOMATIC,all wheel drive,4.0,"Flex Fuel,Performance",Midsize,Sedan,28,18,1013,29905
Ford,Mustang,2017,regular unleaded,300.0,6.0,MANUAL,rear wheel drive,2.0,,Midsize,Coupe,27,18,5657,24645
Toyota,Camry,2015,regular unleaded,268.0,6.0,AUTOMATIC,front wheel drive,4.0,Performance,Midsize,Sedan,31,21,2031,31370
Suzuki,Vitara,2004,regular unleaded,165.0,6.0,AUTOMATIC,four wheel drive,4.0,,Compact,4dr SUV,20,17,481,19199
GMC,Yukon XL,2015,premium unleaded (recommended),420.0,8.0,AUTOMATIC,rear wheel drive,4.0,Performance,Large,4dr SUV,21,15,549,67220
Kia,Soul,2016,regular unleaded,130.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Wagon,30,24,1720,17400
Volkswagen,Passat,2015,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Sedan,36,24,873,22440
Hyundai,Santa Fe Sport,2017,regular unleaded,265.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Midsize,4dr SUV,28,20,1439,31700
GMC,Canyon,2015,regular unleaded,305.0,6.0,AUTOMATIC,four wheel drive,4.0,,Compact,Crew Cab Pickup,24,17,549,37250
Dodge,Ram 50 Pickup,1993,regular unleaded,116.0,4.0,MANUAL,rear wheel drive,2.0,,Compact,Regular Cab Pickup,22,17,1851,2000
Honda,Element,2009,regular unleaded,166.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Compact,4dr SUV,24,19,2202,25285
Chevrolet,Silverado 1500,2016,flex-fuel (unleaded/E85),285.0,6.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Large,Crew Cab Pickup,22,17,1385,40495
Dodge,Neon,2005,regular unleaded,132.0,4.0,MANUAL,front wheel drive,4.0,,Compact,Sedan,32,25,1851,16110
GMC,Sierra 1500 Hybrid,2013,regular unleaded,332.0,8.0,AUTOMATIC,rear wheel drive,4.0,Hybrid,Large,Crew Cab Pickup,23,20,549,41555
Nissan,Versa,2017,regular unleaded,109.0,4.0,AUTOMATIC,front wheel drive,4.0,,Compact,Sedan,39,31,2009,17280
Dodge,Durango,2017,premium unleaded (recommended),360.0,8.0,AUTOMATIC,rear wheel drive,4.0,"Crossover,Performance",Large,4dr SUV,22,14,1851,42095
Chevrolet,Tahoe,2016,flex-fuel (unleaded/E85),355.0,8.0,AUTOMATIC,four wheel drive,4.0,Flex Fuel,Large,4dr SUV,22,16,1385,50000
Suzuki,Kizashi,2011,regular unleaded,180.0,4.0,AUTOMATIC,all wheel drive,4.0,,Midsize,Sedan,30,23,481,22099
Volkswagen,Routan,2010,regular unleaded,251.0,6.0,AUTOMATIC,front wheel drive,4.0,,Midsize,Passenger Minivan,25,17,873,36600
Mazda,3,2016,regular unleaded,155.0,4.0,MANUAL,front wheel drive,4.0,Hatchback,Compact,4dr Hatchback,40,29,586,23245
Cadillac,CT6,2017,premium unleaded (required),404.0,6.0,AUTOMATIC,all wheel drive,4.0,"Luxury,High-Performance",Large,Sedan,26,18,1624,67595
BMW,1 Series,2013,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,43550
Ford,Escape,2016,regular unleaded,168.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,31,22,5657,23590
Chevrolet,C/K 2500 Series,1998,regular unleaded,255.0,8.0,MANUAL,rear wheel drive,2.0,,Large,Extended Cab Pickup,18,12,1385,3068
GMC,Jimmy,1999,regular unleaded,190.0,6.0,MANUAL,rear wheel drive,2.0,,Compact,2dr SUV,21,15,549,2038
Dodge,Dart,2015,regular unleaded,160.0,4.0,MANUAL,front wheel drive,4.0,,Midsize,Sedan,36,25,1851,16495
Mitsubishi,Outlander,2017,regular unleaded,166.0,4.0,AUTOMATIC,all wheel drive,4.0,Crossover,Midsize,4dr SUV,29,24,436,27495
Subaru,Forester,2015,regular unleaded,170.0,4.0,MANUAL,all wheel drive,4.0,Crossover,Midsize,4dr SUV,29,22,640,22195
FIAT,500X,2017,regular unleaded,180.0,4.0,AUTOMATIC,front wheel drive,4.0,Crossover,Compact,4dr SUV,30,22,819,25135
Chevrolet,Uplander,2008,regular unleaded,240.0,6.0,AUTOMATIC,front wheel drive,4.0,Flex Fuel,Midsize,Passenger Minivan,23,16,1385,24250
Chevrolet,S-10 Blazer,1994,regular unleaded,165.0,6.0,MANUAL,rear wheel drive,2.0,,Compact,2dr SUV,20,15,1385,2000
